PET_ID,NAME,AGE,SPECIES,BREED,GENDER,HEALTH_STATUS,WEIGHT,COAT_LENGTH,IMAGE_URL,DESCRIPTION,ADOPTION_CENTER_ID,STATUS,AVAILABLE
136,Rozamond,38,Dog,Bulldog,Female,Fair,73,Long,,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",4,Verified,1
137,Niki,13,Cat,Abyssinian,Male,Excellent,189,Medium,,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",2,Unverified,1
138,Marylynne,12,Dog,German Shepard,Female,Poor,30,Medium,,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",5,Verified,1
139,Malina,31,Cat,Bengal,Female,Poor,39,Long,,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",2,Verified,1
140,Ilysa,34,Cat,Persian,Female,Excellent,132,Short,,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,1,Verified,1
141,Alleen,11,Dog,Australian Shepard,Female,Excellent,7,Long,,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,0,Unverified,1
142,Hillyer,23,Dog,Rottweiler,Male,Good,0,Medium,,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",2,Unverified,1
143,Feliza,29,Cat,Ragdoll,Female,Poor,126,Long,,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,1,Unverified,1
144,Patrizius,22,Dog,Golden Retriever,Male,Good,155,Long,,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1,Verified,1
145,Toni,40,Cat,Ragdoll,Female,Poor,97,Medium,,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",3,Verified,1
146,Hillel,12,Cat,Siamese,Male,Fair,20,Medium,,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",0,Verified,1
147,Kali,49,Dog,Dachshund,Female,Fair,86,Long,,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",2,Unverified,1
148,Janice,39,Cat,Sphynx,Female,Excellent,34,Short,,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",0,Unverified,1
149,Aleece,28,Dog,Labrador,Female,Fair,82,Long,,In congue. Etiam justo. Etiam pretium iaculis justo.,3,Unverified,1
150,Johnny,40,Cat,Abyssinian,Male,Poor,67,Long,,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1,Unverified,1
